PRN,X,Y,Z,e,n,u,elevation,azimuth,distance
1,20168.351485,16031.499732,6738.889838,8985239.568576,-17318582.122134,11744657.969739,31.046239,152.578779,22772896.338673
3,24273.678267,11044.106703,-1764.647745,2970471.312817,-23680442.481762,5630147.013635,13.273755,172.850171,24521125.817292
7,-10223.345281,-18084.472469,17056.624880,-14021599.719540,21901122.052055,496964.944377,1.094806,-32.628302,26009832.371431
9,-14334.822123,5786.630033,21041.443466,9947465.164707,20925507.874032,5707018.801781,13.837371,25.425250,23862083.031309
11,15283.168838,-6864.297868,20551.059410,-11266132.007638,-172307.675695,17639215.409438,57.430670,-90.876231,20930774.964372
14,10970.084031,17831.945509,16426.350996,13549911.496422,-5337420.548155,15905447.602531,47.522351,111.499885,21565514.672866
19,23960.296160,5523.981720,10166.246448,-2180206.599153,-15868834.322199,14869493.279800,42.870694,-172.177154,21855778.045140
20,22851.628387,-13287.334354,2439.791807,-19719897.710797,-13881452.095913,4710634.801555,11.052667,-125.142911,24571511.110411
22,-2798.634442,17719.894476,19744.555718,17714022.928089,7645059.700067,12069299.926930,32.028768,66.655825,22757450.358962
28,4721.788658,-18461.064822,18607.922741,-19015143.443736,10569334.962690,9015209.936415,22.508839,-60.933041,23549108.941466
31,-764.509501,-16615.402115,20301.220467,-15558824.213595,15427139.382392,8104831.385698,20.299680,-45.243495,23361548.155546
