PRN,X,Y,Z,dts_Li
24,23421962.768253,-12587454.896122,999742.383390,0.000001
13,7552201.472331,22602195.697607,11771817.079905,-0.000031
8,19783013.601423,3244987.165424,17378752.707202,0.000374
21,-11894221.979181,-10766055.410957,21172792.763545,0.000072
29,11084173.931864,-17544464.832653,16816648.852921,0.000219
26,8280837.254754,-21834335.527924,11796581.029459,0.000438
10,16224624.833054,-6015374.987310,20186079.081770,0.000039
17,16522601.792030,-16233813.575696,12453407.323159,0.000158
2,-13921125.994947,10520857.438908,20752899.943494,-0.000268
28,23778312.648123,11792189.993946,-2950541.777395,0.000018
3,-12326720.731331,15206586.330821,17758732.273850,0.000083
27,9544662.436440,12516483.254512,21878717.204534,0.000904
