PRN,L,X,Y,Z,P1,Sat_clk_err
24,155852.386167,23421962.768253,-12587454.896122,999742.383390,25001256.679430,1.1048527150e-06
13,155853.383137,7552200.217497,22602205.127100,11771799.884814,23106630.269430,-3.1371136900e-05
8,155854.553847,19782985.994349,3245004.088496,17378780.211023,20664230.285440,3.7422564250e-04
21,155855.587847,-11894220.659913,-10766056.106128,21172793.129070,24835459.142430,7.1724874450e-05
29,155852.342390,11084174.963659,-17544452.684560,16816661.064318,23250719.148430,2.1948794090e-04
26,155854.538111,8280837.764110,-21834331.763553,11796587.646937,24278147.404430,4.3836492140e-04
10,155854.617018,16224653.041200,-6015356.853298,20186062.202443,21075046.643440,3.8757988290e-05
17,155851.663687,16522611.971790,-16233816.069106,12453389.868238,23040156.096430,1.5821624890e-04
2,155853.268161,-13921125.846576,10520857.515700,20752900.007543,25021425.825430,-2.6770091050e-04
28,155855.018802,23778312.686953,11792190.075152,-2950541.181966,24944089.654430,1.7561425910e-05
3,155852.251786,-12326721.423382,15206582.112152,17758735.430672,24444981.725430,8.2553296640e-05
27,155852.696986,9544631.970904,12516502.645353,21878718.757285,20946850.748440,9.0430446640e-04
