PRN,X,Y,Z,dts_Li
24,23421962.768253,-12587454.896122,999742.383390,1.104852715e-06
13,7552200.217497,22602205.127100,11771799.884814,-3.137113690e-05
8,19782985.994349,3245004.088496,17378780.211023,3.742256425e-04
21,-11894220.659913,-10766056.106128,21172793.129070,7.172487445e-05
29,11084174.963659,-17544452.684560,16816661.064318,2.194879409e-04
26,8280837.764110,-21834331.763553,11796587.646937,4.383649214e-04
10,16224653.041200,-6015356.853298,20186062.202443,3.875798829e-05
17,16522611.971790,-16233816.069106,12453389.868238,1.582162489e-04
2,-13921125.846576,10520857.515700,20752900.007543,-2.677009105e-04
28,23778312.686953,11792190.075152,-2950541.181966,1.756142591e-05
3,-12326721.423382,15206582.112152,17758735.430672,8.255329664e-05
27,9544631.970904,12516502.645353,21878718.757285,9.043044664e-04
